"(Intercept)" "CVRG" "DNST" "CNNC" "SHEI" "IIND" "df" "logLik" "AICc" "delta" "weight"
"C0" 1901.38070152 NA NA NA NA NA 2 -234.109563702761 472.663571849966 0 0.269013136866203
"C7" 1601.48813784765 NA NA NA NA 32.2719596462107 3 -233.159213091898 473.241503106874 0.57793125690722 0.201501048710063
"C2" 1490.21663965399 NA 216.038283872428 NA NA NA 3 -233.235460145677 473.393997214431 0.730425364464793 0.18670830489255
"C6" 2500.29476174753 NA NA NA -1017.82277071207 NA 3 -233.636417114972 474.19591115302 1.53233930305373 0.125034607979224
"C5" 1717.94684524002 NA NA 10.3339718514139 NA NA 3 -233.690236597227 474.303550117532 1.63997826756508 0.118483188410926
"C1" 2070.73407059043 -14.8904336534185 NA NA NA NA 3 -233.867267897608 474.657612718294 1.9940408683272 0.0992597131410342
