"(Intercept)" "CVRG" "DNST" "CNNC" "SHEI" "IIND" "df" "logLik" "AICc" "delta" "weight"
"M7" 1946.90400562039 NA NA NA NA -14.8758463305194 3 -186.918588387275 380.980033917407 0 0.857892351726952
"M2" 914.816574742688 NA 338.882686314915 NA NA NA 3 -189.319547941383 385.781953025623 4.8019191082164 0.077751595622199
"M6" 642.102536413076 NA NA NA 1718.34175879709 NA 3 -190.01109128738 387.165039717618 6.18500580021106 0.038938198185841
"M1" 1413.69629146645 19.8989987217785 NA NA NA NA 3 -191.360820411514 389.864497965886 8.88446404847912 0.0100970833325734
"M5" -424.475649413308 NA NA 88.5322817581419 NA NA 3 -191.372408503991 389.887674150839 8.90764023343286 0.00998075272386893
"M0" 1744.14384 NA NA NA NA NA 2 -193.296539213142 391.138532971738 10.1584990543319 0.0053400184085652
