LID , TYPE , PLAND 
19_APC, cls_25 ,0.2716
19_APC, cls_24 ,4.8946
19_APC, cls_33 ,0.1325
20_CMB, cls_21 ,20.1726
20_CMB, cls_15 ,11.7303
20_CMB, cls_3 ,12.695
20_CMB, cls_25 ,0.1393
20_CMB, cls_19 ,49.5444
20_CMB, cls_9 ,0.8194
20_CMB, cls_20 ,3.6279
20_CMB, cls_24 ,1.2589
20_CMB, cls_33 ,0.0122
21_MND, cls_3 ,12.4003
21_MND, cls_21 ,25.5803
21_MND, cls_19 ,23.3772
21_MND, cls_9 ,1.1077
21_MND, cls_15 ,30.9963
21_MND, cls_33 ,0.0359
21_MND, cls_20 ,3.8937
21_MND, cls_25 ,0.1811
21_MND, cls_24 ,2.4276
22_RLN, cls_19 ,72.9139
22_RLN, cls_3 ,7.7083
22_RLN, cls_21 ,9.0635
22_RLN, cls_15 ,2.6523
22_RLN, cls_9 ,0.3685
22_RLN, cls_25 ,0.1215
22_RLN, cls_20 ,3.1329
22_RLN, cls_33 ,0.0753
22_RLN, cls_24 ,3.9637
23_IBT, cls_21 ,11.2897
23_IBT, cls_15 ,57.2668
23_IBT, cls_3 ,15.4438
23_IBT, cls_19 ,10.7721
23_IBT, cls_9 ,2.3963
23_IBT, cls_20 ,1.916
23_IBT, cls_33 ,0.1044
23_IBT, cls_25 ,0.109
23_IBT, cls_24 ,0.7019
24_SAP, cls_21 ,13.8197
24_SAP, cls_19 ,16.2821
24_SAP, cls_3 ,6.861
24_SAP, cls_20 ,4.3739
24_SAP, cls_33 ,0.3891
24_SAP, cls_15 ,56.6721
24_SAP, cls_25 ,0.0832
24_SAP, cls_9 ,0.2803
24_SAP, cls_24 ,1.2385
25_ABT, cls_33 ,0.3883
25_ABT, cls_21 ,17.1371
25_ABT, cls_19 ,32.8944
25_ABT, cls_15 ,40.1928
25_ABT, cls_3 ,6.0245
25_ABT, cls_9 ,0.9175
25_ABT, cls_20 ,1.8762
25_ABT, cls_25 ,0.1168
25_ABT, cls_24 ,0.4524
26_SCM, cls_33 ,0.8972
26_SCM, cls_3 ,9.6591
26_SCM, cls_21 ,10.9596
26_SCM, cls_15 ,66.8024
26_SCM, cls_13 ,0.0019
26_SCM, cls_19 ,8.3895
26_SCM, cls_24 ,1.6469
26_SCM, cls_25 ,0.2567
26_SCM, cls_20 ,0.0123
26_SCM, cls_9 ,1.3743
27_CPR, cls_3 ,12.7453
27_CPR, cls_21 ,18.1179
27_CPR, cls_15 ,16.3114
27_CPR, cls_19 ,47.2888
27_CPR, cls_9 ,0.5745
27_CPR, cls_33 ,0.3714
27_CPR, cls_20 ,2.9207
27_CPR, cls_25 ,0.1394
27_CPR, cls_24 ,1.5307
28_JBT, cls_21 ,12.0151
28_JBT, cls_19 ,15.5044
28_JBT, cls_3 ,8.4768
28_JBT, cls_15 ,62.0235
28_JBT, cls_33 ,0.1154
28_JBT, cls_9 ,0.9855
28_JBT, cls_20 ,0.1219
28_JBT, cls_25 ,0.098
28_JBT, cls_24 ,0.6592
29_CMB, cls_3 ,6.7757
29_CMB, cls_21 ,6.9727
29_CMB, cls_19 ,77.8965
29_CMB, cls_15 ,3.441
29_CMB, cls_33 ,0.096
29_CMB, cls_25 ,0.0764
29_CMB, cls_24 ,4.6299
29_CMB, cls_20 ,0.0837
29_CMB, cls_9 ,0.0282
30_PTN, cls_19 ,79.2754
30_PTN, cls_21 ,7.3617
30_PTN, cls_3 ,4.8645
30_PTN, cls_20 ,1.9792
30_PTN, cls_15 ,5.737
30_PTN, cls_9 ,0.2138
30_PTN, cls_25 ,0.0985
30_PTN, cls_24 ,0.4618
30_PTN, cls_33 ,0.008
