"(Intercept)" "CVRG" "IIND" "CVRG:IIND" "DNST" "DNST:IIND" "CNNC" "CNNC:IIND" "SHEI" "IIND:SHEI" "df" "logLik" "AICc" "delta" "weight"
"MB" 1609.04942295426 NA 0.0711751399413922 NA 197.94780128122 -17.070164495999 NA NA NA NA 5 -185.368558470487 383.895011677815 0 0.411181445507874
"MD" 332.959927708474 NA 9.56156813906174 NA NA NA 65.5096691668965 -1.0218102922375 NA NA 5 -185.827181393112 384.812257523066 0.917245845250193 0.259929819013007
"ME" 1789.05681393169 NA 7.13287989335142 NA NA NA NA NA 471.655980815599 -71.5323806452848 5 -185.996044935946 385.149984608735 1.25497293091945 0.219543002583901
"MA" 2016.66911326496 2.14788062225544 -13.8734257205098 -1.24150605890406 NA NA NA NA NA NA 5 -186.79903443197 386.755963600782 2.86095192296608 0.0983525653961018
"M0" 1744.14384 NA NA NA NA NA NA NA NA NA 2 -193.296539213142 391.138532971738 7.24352129392292 0.0109931674991169
