"(Intercept)" "DNST" "IIND" "DNST:IIND" "PRXM" "IIND:PRXM" "CNNC" "CNNC:IIND" "SHEI" "IIND:SHEI" "family" "df" "logLik" "AICc" "delta" "weight"
"CB" -400.33354416224 932.856220432012 151.08389443333 -54.5736959440627 NA NA NA NA NA NA "gaussian(identity)" 5 -228.829317747539 470.158635495078 0 0.730658207425921
"C0" 1901.38070152 NA NA NA NA NA NA NA NA NA "gaussian(identity)" 2 -234.109563702761 472.663571849966 2.50493635488863 0.20882103733649
"CC" 1971.6658649503 NA 23.6409870489498 NA 3.23122721710892 -1.67700777012467 NA NA NA NA "gaussian(identity)" 5 -231.820412277665 476.140824555331 5.98218906025278 0.0367027341313852
"CE" 908.193070061923 NA 105.382219424775 NA NA NA NA NA 1252.90297169063 -140.81573368571 "gaussian(identity)" 5 -232.936806201875 478.373612403751 8.21497690867301 0.0120186225684328
"CD" 1758.75715469778 NA 3.74710617266057 NA NA NA -4.65634166594868 1.05202603864252 NA NA "gaussian(identity)" 5 -232.955214970646 478.410429941293 8.25179444621511 0.011799398537771
